entity_id,dailyEnergyConsumed,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.748909091,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.748909091,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.665710526,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.829993151,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.829993151,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0.851862069,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.59252381,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.61676087,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.630377778,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.630377778,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.127666667,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.127666667,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.748909091,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.87178125,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.87178125,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.829993151,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.590555556,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.590555556,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0.961724138,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.59252381,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.683317073,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.683317073,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.0935,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.630377778,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.295767606,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.295767606,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.127666667,2024-01-06T19:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.093827586,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.093827586,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.87178125,2024-01-07T07:00:00.000Z,KWH
