entity_id,apparentPower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.341666667,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.341666667,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.931034483,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,77.295454545,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,77.295454545,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,63.828571429,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.793859649,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,634,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.9375,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.9375,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.75,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,29.981308411,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,35.878504673,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.931034483,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.931034483,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,7.259259259,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,63.828571429,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,63.828571429,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,60.525641026,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.793859649,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.793859649,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.779005525,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,634,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,945.5,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.75,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.75,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,34.028985507,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,35.878504673,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,35.878504673,2024-01-06T19:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,31.705357143,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,7.259259259,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,7.259259259,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.605263158,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,60.525641026,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,61.666666667,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.779005525,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,11.090909091,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,945.5,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,34.028985507,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,34.028985507,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,31.705357143,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,31.705357143,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,30.690909091,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.605263158,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.605263158,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,78.081081081,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,61.666666667,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,61.666666667,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,82.175,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,11.090909091,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,11.090909091,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,18.154589372,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,945.5,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,945.5,2024-01-07T07:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,395.2,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,33.55,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,33.55,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,30.690909091,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,30.690909091,2024-01-07T18:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,54.578947368,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,78.081081081,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,78.081081081,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.59223301,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,82.175,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,82.175,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,64.479452055,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,18.154589372,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,11.11965812,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,395.2,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,117.518867925,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,117.518867925,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,33.04109589,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,54.578947368,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,27.504854369,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.59223301,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.59223301,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,79.580357143,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,64.479452055,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,64.479452055,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,82.5,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,11.11965812,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.789115646,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,395.2,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,33.04109589,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,33.04109589,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,27.504854369,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,27.504854369,2024-01-08T17:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,63.385964912,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,79.580357143,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,79.580357143,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.704347826,2024-01-09T16:00:00.000Z,VA
