entity_id,activePower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,64.634615385,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,64.634615385,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,64.634615385,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.428571429,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.428571429,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.428571429,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,59.848101266,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,59.848101266,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,59.848101266,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,23,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,24.908163265,2024-01-09T16:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,24.908163265,2024-01-09T16:00:00.000Z,WTT
